marca_temporal,pseudonimo,genero,pulgar,índice,mayor,anular,menique
19/08/2025 18:57:20,Magdalena Yeni Hinojosa Armendáriz,Mujer,6,6.5,7.4,6.5,5
19/08/2025 18:57:47,Israel José Carlos Aguilera,Hombre,6.5,7,9,8,6.6
19/08/2025 18:59:23,René Carreón Villanueva,Hombre,6.5,6.6,7.9,7.2,5.7
19/08/2025 18:59:49,José Luis Grijalva Anguiano,Hombre,6.8,7.7,8.2,7.9,6.7
19/08/2025 18:59:51,Samuel Bruno Noriega,Hombre,7,9,10,9,7.5
19/08/2025 19:02:03,Bianca Mauricio Anguiano Zedillo,Mujer,5.7,7.6,7.2,8.1,6.4
19/08/2025 19:02:07,José Eduardo Conchita Morales,Hombre,6.4,7.4,8.3,7.9,6.4
19/08/2025 19:03:47,Dr. Fidel Peres,Hombre,6.7,7.2,8.2,7.4,5.7
19/08/2025 19:04:17,Esparta Flórez Marroquín,Mujer,6.4,7,8.2,7.5,6.3
20/08/2024 17:20:02,Clara Cornelio Quintana,Mujer,6.5,7.5,7.5,6.9,5.6
20/08/2024 17:20:43,Ing. Francisca Rosario,Mujer,6,6.5,7.5,7,6
20/08/2024 17:21:36,María Teresa Rufino Garibay,Mujer,6.1,7.4,7.5,6.8,5.9
20/08/2024 17:24:44,Ing. Graciela Puente,Mujer,5,5.7,6.6,5.8,5
20/08/2024 17:26:17,Héctor Ramón Alarcón,Hombre,5.9,6.9,7.6,7.1,5.6
20/08/2024 17:26:32,Antonia Andrea Lerma López,Mujer,5.5,6.2,7,6.5,5.3
20/08/2024 17:27:02,Sr(a). María Elena Villareal,Mujer,6.4,7.1,8.3,7.4,5.9
20/08/2024 17:27:40,Bianca Romero,Mujer,7,8,8.2,7.2,6
20/08/2024 17:27:42,Yeni Ybarra Olvera,Mujer,5.3,6.6,7.2,6.6,5.4
20/08/2024 17:28:14,Dr. Marisol Estévez,Mujer,5,6,6.5,6.9,4.9
20/08/2024 17:28:29,Rolando Velásquez,Hombre,6.1,7.3,7.9,7.4,5.8
20/08/2024 17:30:00,Aldonza Tapia Macías,Mujer,6.2,6.5,7.6,6.8,5.7
20/08/2024 17:30:10,Horacio Villarreal,Hombre,7.2,8.3,9.2,8.5,7
20/08/2024 17:33:34,Ing. Indira Ybarra,Mujer,5.6,7.1,8.1,7.4,6.2
4/02/2025 17:37:28,Lic. Paola Griego,Mujer,6,6.6,7.5,6.5,5
4/02/2025 17:38:26,Lorena Abraham Tapia Almanza,Mujer,6.1,6.6,7.5,7.2,5.6
4/02/2025 17:47:20,Silvano Berta Amaya Monroy,Hombre,6.3,7,8.2,7.5,6.5
4/02/2025 17:54:54,Irma Pérez,Mujer,5.3,7.2,8.1,6.9,5.3
4/02/2025 17:59:12,Ing. Claudio Alva,Hombre,6.5,6.9,7.5,7,6.5
4/02/2025 18:04:56,Abril Adriana Castellanos,Mujer,5.5,7,8,7.5,6
4/02/2025 18:14:50,Ing. Cornelio Cabán,Hombre,6,6.8,7.5,7.4,6.3
4/02/2025 18:16:44,Dr. Ofelia Bonilla,Mujer,6.7,7.3,8.3,7.8,6.3
4/02/2025 18:17:54,Ignacio Iván Hernández,Hombre,7.2,7.5,8.5,7.6,6.5
4/02/2025 18:18:51,Soledad Ponce,Mujer,6,8,8.7,7.2,6.2
4/02/2025 18:26:45,Dr. Francisco Javier Bustamante,Hombre,6.6,8.2,9,7.6,6.2
4/02/2025 18:40:42,Sr(a). Celia Maya,Mujer,6,6.3,7.2,7,5.5
4/02/2025 19:18:42,Juan Carlos Marrero Frías,Hombre,7.5,8.5,9.5,9,7
5/02/2025 17:50:56,Humberto Martínez Olmos,Hombre,6.5,7,7.5,6.9,5.9
